subject,cluster
Some help with the lookup service.,31
dbpedia lookup service unavailable,31
Using Lookup Service.,31
Service Temporarily Unavailable,31
Problems to run a local mirror of the lookup service.,31
DBpedia Lookup service license,31
dbpedia lookup service,31
DBpedia Lookup Service back online!,31
lookup service refcount oddity,31
"Lookup service results for building""""",31
Dbpedia Lookup Service down,31
Lookup service and wiki categories,31
DBPedia Lookup: Service Temporarily Unavailable,31
"Announcing OpenLink Virtuoso, version 7.2.0!",32
Announcing Virtuoso Open-Source Edition v5.0.12,32
Announcing Virtuoso Open-Source Edition v 6.1.0,32
"Announcing OpenLink Virtuoso Open-Source Edition, Version 7.1.0",32
"Announcing OpenLink Virtuoso, Open-Source Edition, v5.0.7",32
"Announcing Virtuoso Open-Source Edition, Version 6.1.2",32
Announcing OpenLink Virtuoso Open-Source Edition v6.0.0,32
"Virtuoso Open-Source Edition, Version 6.1.1 release",32
"Announcing OpenLink Virtuoso, Open Source Edition, v6.1.4",32
"Announcing OpenLink Virtuoso, Open-Source Edition, v5.0.8",32
Announcing Virtuoso Open-Source Edition v 5.0.13,32
data sets for language versions,33
Data set,33
DBpedia Archive now part of Amazon Public Data Sets,33
which version data set you used?,33
Querying data sets on dbpedia,33
A problem with categories datasets in DB3.8,34
Dataset containing article names present in a dbpedia category,34
Querying datasets,34
Is yago2class dataset for download a reduced dataset£¿,34
Pagelinks dataset,34
Split the articles dataset,34
Core Datasets in other languages,34
Evaluation on automatic domain/topic identification on Linked Open Datasets - Please Particpate,34
Lexicalizations Dataset,34
Confusion about DBpedia international datasets and chapters,34
LDIF: A tool to process DBpedia dumps (blatant advertising),35
DBpedia 3.8 dump files,35
DBpedia 3.7 dumps .nt file encoding issues,35
Warnings from DBpedia 3.0 N-Triples file.,35
Old DBpedia dumps and names across versions,35
dump file naming conventions and formats,35
DBPedia dump - Categories (Skos) - other languages ?,35
Wikipedia dump for the 2015-04 dbpedia dumps,35
Wikipedia dump corresponding to DBpedia 3.7,35
infobox_properties_en.nt file of DBPedia 3.8,35
Frequency of processing Wikipedia data dumps,35
difference between dump files,35
live dbpedia dumps,35
local dbpedia dump load to virtuoso server,35
Duplicate entries in DBpedia dumps,35
DBpedia dataset published using Hypernotation,36
"Download the current version of DBPedia Datasets, in JSON / XML",36
Updated dbpedia Dataset released!,36
DBpedia datasets in the main release,36
Inquiry about the path length of DBPedia datasets,36
Incremental diff of DBpedia dataset,36
Special chars in property URIs (was: DBpedia 3.0 Dataset problems.),36
DBpedia datasets and their encodings,36
Query regarding dbpedia dataset,36
"wiktionary.dbpedia.org online - Linked Data, SPARQL and Dumps",37
Linked Data Meetup London - Program and Sign-Up,37
PhD Studentship in Linked Data Integration for Social Science Applications,37
"Reminder: Linked Data Meetup London, 24 February",37
Making human-friendly linked data pages more human-friendly,37
Making Your LInked Data Discoverable,37
issues with iri encoding in linked data frontend,37
Wikidata granularity and Linked Data,37
LESS - Content Syndication based on Linked Data,37
Indian-summer school on Linked Data (ISSLOD 2011),37
1st Challenge on Question Answering over Linked Data (QALD-1),37
defining new class in dbpedia ontology,38
DBpedia ontology - full list of classes,38
From instance to class,38
A quick analysis of the classes in the DBpedia ontology,38
Ontology Classes,38
Retrieve attributes given an dbpedia ontology class,38
fixing up the sports classes in the DBpedia ontology,38
Use of dbpedia-owl classes in other ontologies,38
DBpedia Class Hierarchy,38
Missing mappings by frequency,39
Missing package !,39
Statements missing from dump?,39
Missing dataset(s),39
The case of the missing abstracts,39
Missing links among categories?,39
Large amounts of missing georss:point data,39
Missing results on DBPedia end point,39
Missing file at,39
"Resource"" missing from Ontology OWL""",39
little data missing - city-class,39
"Missing file at generate-settings""""",39
Missing mappings in extraction_framework,39
Concept hyperlinks missing on the endpoint,39
Virtuoso/DBpedia VAD missing data from .rdf files,39
Powerset: Semantic extraction from Wikipedia based on natural language,40
Extracting audio files from Wikipedia (was: Multi-listen_item),40
Extracting German noun forms,40
Running the extraction,40
Dewey and other subject classification codes - can these be extracted?,40
literatur extraction,40
How i can extract,40
extracting audios files and intermediate nodes,40
"How to extract onProperty, someValuesFrom, intersectionOf for each class in OWL file",40
"values of dbpedia-owl:wikPageDisambiguate"" - how are they extracted""",40
extraction,40
Extracting Causality from DBPedia?,40
Game based data extraction,40
Importing Wikipedia,41
how to import OWL-ontology to repository,41
Important News Re. IBM Watson and DBpedia,41
dbpedia 3.5.1 busts my importer script,41
"dbpedia 3.4 import virtuoso 5.11, some date is missing",41
Important Change to HTTP semantics re. hashless URIs,41
Directly sampled importance score for DBpedia,41
Importation process error,41
Getting started with importing dbpedia into Sesame,41
DBPedia Import,41
indexing DBpedia with Swoogle; biological data in DBpedia,42
get only certain data out DBpedia 3.8 Downloads,42
Fetching selective data from DBpedia,42
how to get most recent data from dbpedia,42
"Attention data"" in DBpedia?""",42
Add data to dbpedia in Virtuoso,42
Stale data in DBpedia Live?,42
Dbpedia on local PC,43
DBpedia on local Virtuoso server,43
Merging dbpedia with local ontology,43
set up Virtuoso to host DBpedia 3.4 locally,43
DBpedia Local Storage,43
setting up DBpedia on local machine?,43
run dbpedia on local windows machine,43
using DBpedia locally,43
"Movie review using dbpedia, questions",44
Using DBPedia for Country Data,44
Movie reviews using DBpedia,44
Specifying my own XSLT stylesheet to use with DBpedia SNORQL results?,44
Using Dbpedia Lookup.,44
Information Extraction using DBpedia,44
Reading William Shakespeare using dbpedia,44
Examples of using Dbpedia,44
Abstract extraction problem,45
Bls: extraction problem,45
No abstract Field,45
Extraction problems while parsing wikipedias.csv,45
Portuguese extraction (messed up abstracts),45
Bls: Abstract extraction problem,45
extraction problem,45
DBpedia 3.8 Abstract extraction problem,45
Italian short / long abstract problem,45
Mappings namespace requests,46
request for Russian namespace (ru),46
"Open Calls - Formal Ontologies meets Industry, Rule Challenge, Reasoning Web Summer School",47
"Ontology browser in the MappingTool, no results.",47
"PhD Scholarship Opportunity on Visualisation of Expressive Ontologies at Monash University, Australia",47
Why is the OWL ontology in RDF/XML?,47
Ontology maintenance,47
DBO ontology problems,47
United Nations FAO geo-political ontology & dbpedia,47
social participation data and ontologies in DBpedia,47
"About classification, inference and the BDpedia Ontology",47
Problems accessing to ontology classes' properties or testing the ontology mappings,47
Ontological trouble with cities,47
flickrwrappr: Resource Not Found,48
Incomplete resource descriptions,48
selecting data for a given resource / page,48
Languages as resources : launching lingvoj.org,48
Complete set of DBpedia resources?,48
primary reference key for resources,48
Resources and their classes,48
internal resource uri in german json data,48
"how to get IntermediateNodes (sub-objects"") of a resource""",48
Linguistic popularity of a resource in Wikipedia and DBpedia,48
Modelling Provenance of DBpedia Resources Using Wikipedia Contributions,48
Wikilink URI's need the resource name to have its first letter capitalised,48
Missing DBpedia resources ?,48
Referencing DBpedia resources in blog entries,48
A New HTTP Status Code for Legally-restricted Resources,48
Airpedia resource,48
Semantic Bookmarking Service: Faviki,49
"Semantic Web Journal Special Issue on Quality Management of Semantic Web Assets (Data, Services and Systems)",49
"SEMANTiCS 2014 - Networking for Funding (till Sept. 3rd, 10 am)",49
DBpedia Search (was The Semantic Web becoming real),49
FYI: Get Semantic with DBPedia and ActiveRDF,49
Open Position for Graduate Fellowship in Semantic Web Technologies at CNR-STLAB,49
"Bring your Blog, Wiki, WebApp to the Semantic Web?!",49
Are you guys pinging the semantic web?,49
Semantic Search Evaluation and Gold Standard,49
mappings with semantic mediawiki,49
DBpedia in ReadWriteWebs Top 10 Semantic Web Products of 2009,49
Getting Freebase onto the Semantic Web,49
Querying DbPedia to get country datas,50
query dbpedia to find linked phrases,50
Querying DBpedia with Arabic Triples,50
Exception when querying DBpedia via JENA+SPARQL,50
Help for a SPARQL query on dbpedia,50
programmatic queries to DBpedia,50
Sparql Queries and dbpedia:Category:foo,50
Query about DBpedia Data,50
Easiest deployment and querying of DBpedia without Amazon EC2 ?,50
How do I consistently query dbpedia for programming languages by name?,50
How to save result of sparql query from dbpedia on a rdf file,50
Infobox Extraction Questions,51
Discovery_Communications missing in infobox dump,51
dbpedia infoboxes not in sync,51
language-specific mappings on the ontology infobox properties,51
infobox mappings case sensitive?,51
Using other languages infoboxes,51
chemistry-related infoboxes,51
Links in Infobox and DBPedia,51
Norwegian (bokmÃ¥l) infobox extraction,51
Bug with double infoboxes,51
bug #1744807: Complex infobox values,51
infobox mappings,51
The difference between infobox downloads,51
instance_types and infoboxes,51
Infobox onversions from wikipedia to dbpedia - some questions,51
Release date for infobox films not parsed,51
how to parse infobox prop like dbpedia?,51
Project Announcement: Infobox Mapping,51
Number of infoboxes,51
"Loading dbpedia into Virtuoso, bz2 problem",52
"Loading full DBpedia dataset, timings and approach",52
what is loaded into dbpedia?,52
loading dbpedia benchmark,52
Invalid character in infobox-mappingbased-loose.nt when trying to load DBPedia in virtoso,52
loading dbpedia 3.7 files into local repository,52
Invalid character in infobox-mappingbased-loose.nt when trying to load DBPedia in virtos,52
"Hi. How with ld_dir_all ( , , ) load dbpedia in local machine, also how in original dbpedia",52
Regarding category pages in DBpedia - How to get total number of pages in a category,53
Reminder skos:subject is deprecated categories at dbpedia.org/resource/category:,53
Cleanded Wikipedia Category Class (CWCC) Hierarchy,53
Category Node?,53
"Developing new Extractors for DBpedia was: SKOS, Eponymous Categories, and Main Articles",53
How to build a meaningful Taxonomy from Wikipedia Categories?,53
"SKOS, Eponymous Categories, and Main Articles",53
Get Resource name and Category,53
categories with a comma in their names,53
Categories present in article_categories_en.nt but not in page_links_en.nt ?,53
Wikipedia category browser,53
Gathering history of wikipedia categories,53
what are avaiable categories at dbpedia.org/resource/category:,53
Dbpedia-Freebase raw dump of conditional probabilities,54
Disambiguation dataset in 2015-04 dump,54
Disambiguation links dump,54
Decoding the Freebase Quad Dump,54
DBpedia and disambiguations,55
Wikipedia disambiguation pages,55
Apple Disambiguation,55
Lucene Index and Disambiguation,55
dbpedia + disambiguation pages,55
Apple Disambiguation revisited,55
'Person' disambiguation to verify Identity over the web,55
Disambiguation dataset,55
Bug in image data (CSV file),56
Some images not found,56
No images in some language chapters.,56
getting images from a wikipedia article,56
Fetching images from Wikipedia,56
"Ontology2 Releases RDF Dump of Nearly 1, 000, 000 Free Images",56
Bulgarian DBpedia images extraction,56
flickr wrapper and image copyright ownership,56
Images in DBpedia now link back to Wikipedia,56
image url hash keys incorrect?,56
DBPedia and thumbnail images,56
Link rel/rev lower case,57
LinkedUp Veni Competition: Linked and Open Data for Education,57
WordNet links,57
DBpedia Outgoing Links submission,57
2nd call - Challenge: Doing Good by Linking Entities,57
No page links in Live?,57
linked geo data?,57
how do I get all people and their external links?,57
MyStrands Links Music Recommendations To Wikipedia Info,57
sameAs links to Freebase,57
Freebase Links broken,57
bogus data.nytimes.com owl:sameAs links,57
Links to Geonames,57
page links,57
opencyc link accuracy,57
Link text from Wikipedia,57
Linking to the Norwegian Company Registry,57
MusicBrainz DBpedia Links,57
DBpedia session in Workshop Multilingual Linked Open Data for Enterprises,57
Missing wikiPageWikiLink's at sparql endpoint,58
Browser requests to sparql endpoint,58
Person dataset from SPARQL endpoint beyond 10K,58
Public sparql endpoint maintenance,58
Sparql endpoint: Virtuoso 42000 Error SQ200,58
Spaql endpoint and post method,58
"IP blacklist, DBpedia dump 3.7 and Openlinksw Sparql endpoint",58
Out of memory sparql endpoint,58
Update: Guides for using Microsoft PivotViewer with SPARQL endpoints,58
Problem with Sparql Endpoint,58
HTML abstracts from the sparql endpoint?,58
public sparql endpoints not working,58
sparql endpoint does not works?,58
"occasional syntax error"" on public sparql endpoint""",58
General schema for SPARQL endpoints,58
Current state of the SPARQL endpoint,58
Playing with SPARQL endpoints,58
Different data results for URI from SPARQL endpoint,58
SNORQL and SPARQL endpoints returning different results,58
Double-encoding on SPARQL endpoint results?,58
SPARQL Endpoints returns 500 Internal Server Error on some requests,58
Worldâs Biggest Computer Conference WORLDCOMP is Cancelled,59
Fake Conference Fake: WORLDCOMP and Hamid Arabnia,59
WORLDCOMP Strikes Again for the Last Time,59
WORLDCOMP and Hamid Arabnia,59
Fake Conferences CSCI and WORLDCOMP of Hamid Arabnia,59
Reference facts in DBpedia,60
Obtaining confidence values associated with Dbpedia facts,60
Fact Extraction from Wikipedia Text datasets released,60
Fact ranking game (creation of ground truth),60
Fact Ranking Quiz,60
Disambiguating nutritional facts infoboxes,60
Fw: DBpedia look up not responding,61
SPARQL from DBPedia looking for remote knowledge (from my website),61
Looking for churches in Paris - skos:broader transitivity and dbpedia categories,61
looking for co founder,61
Looking for topics in dbpedia,61
SPARQL returning different results to those available through,62
no results from dbpedia when accessed thorugh script whereas trough browser the results are available.,62
election results,62
a query with count returns different results from the same query without count,62
Different results depending on values of the LIMIT clause,62
limited sparql query results?,62
"endpoint returning diff results - browser, jenasparqlservice",62
query not returning results if inside SERVICE,62
query with no result??!!,62
DBpedia query result is different in Jena ARQ,62
Use of Fallback Languages for Query Results,62
missing values in query results,62
invalid variable types in sparql query results ?,62
Throttled requests,63
Fw: request,63
Edit permission request,63
Bad request exception when getting urispaces of DBpedia,63
Error: HttpException: 500 SPARQL Request Failed,63
Your subscription request,63
Travis CI failing on pull requests,63
limitation of offset in sparql request ?,63
500 SPARQL Request Failed: HttpException: 500 SPARQL Request Failed,63
Downtime for mappings.dbpedia.org server,64
Download server down and wikipedia,64
DNS Problem or Server down! Server move completed,64
receiving lots of sparql server 404 errors,64
DBPedia Server RAM,64
Mapping server down,64
Server performance,64
Mappings server down?,64
Abstract parsing error,65
JSON Format Errors,65
Dump-based Extraction error,65
Links which are showing 404 Error,65
Error Unknown language,65
query timeout error.,65
Virtuoso 22023 Error SR008,65
Error with the PHP mediawiki,65
Date comparism error,65
FILTER NOT EXISTS error on sparql,65
Virtuoso 37000 error related to partitioning,65
likely URI error in Turtle output for Buddy_Guy,65
Local acces to virtuoso endpoint error,65
dbpedia sparql : how to change upper execution time limit : Virtuoso 42000 error,65
wikipedia errors and dbpedia refresh period,65
N-Triples syntax errors in DBpedia,65
Error in results for David Allen Green,65
"Subclass instances not included in SPARQL result, shouldn't they be?",66
Bad SPARQL results from DBPedia endpoint?,66
Why are sparql results incomplete?,66
XML header information in SPARQL results,66
Non-deterministic SPARQL results,66
GSoC 2016: Inferring Infobox Template Class Mappings From Wikipedia and WikiData,67
template parsing bug,67
Mapping a template without key=value properties,67
Template not showing in statistics?,67
Multiple template mappings,67
The first template that occurs in a wiki article defines the class of the entity,67
nested templates; multiple classes,67
Navbox templates,67
Ignored templates,67
getting DBpedia mappings to work with nested templates,67
can't create template mapping with bengali namespace,67
Use stub templates' mapping to detect resource type,67
DBpedia-based RDF dumps for Wikidata,68
Wikidata and DBpedia canonicalized datasets,68
DBpedia to Wikidata sameAs links,68
Collaboration talks Wikidata - (Dutch) DBpedia,68
DBpedia and Wikidata together,68
"Freebase, Wikidata and the future of DBpedia",68
Inter-language links (WikiData),68
Galician resources are not available at the wikidata endpoint?,68
sameAs wikidata help,68
Extracting region/state information for populated places,69
Dump extract of all company informations,69
for your information,69
Fetching song and movie related information,69
Extracting Date Information,69
Information on infoboxes in DBPedia,69
Finding information on dbpedia,69
How can I extract information from wikipedia comparison tables?,69
Update the CreateFreebaseLinks based on the new Freebase RDF dump format (#25),70
United Nations FAO geo-political ontology & dbpedia (was: how to register a RDF into DBPedia),70
Empty RDF files,70
/resource view displaying RDF,70
Trouble with XML RDF Data,70
how to register a RDF into DBPedia,70
Question about rdf:type for dbpedia URIs as displayed on dbpedia mobile,70
rdf resource file errors when processing,70
The Future Of Freebase in RDF,70
DBpedia RDF filenames,70
RDF URI References in DBPedia N-Triples dump,70
Search uri by foaf:page,71
bif:contains text search treated as a prefix,71
full text search,71
Search DBpedia.org - Bad Gateway Workaround,71
Easier simple searches,71
DBpedia Lookup: Keyword Search vs Prefix Search,71
Text Searching in Virtuoso / 2 questions,71
AboutThisDay.com - a 'this day in history' style search engine powered by DBPedia,71
Is this the right place to ask about weirdness with the faceted search interface for dbpedia?,71
minor problem w/ faceted search web interface,71
SPARQL endpoint / Full Text Search / Problems with International Characters,71
Lookup's Keyword Search API is returning no results,71
Announcing: Search DBpedia.org,71
Text Categorization with dbpedia,71
German government proclaims Faceted Wikipedia/DBpedia Search one of the 365 best ideas in Germany,71
Deploying dbpedia on other wikis,72
DBpedia updates/refreshes from wiki data,72
Wiki Mapping,72
Strange text strings in wiki data dump,72
Warm greetings and a few issues to resolve on the DBpedia wiki,72
Live: Can the wiki be updated with an install tutorial,72
How to get contributors of wiki articles,72
DBpedia and my own wiki,72
travel wiki dataset,72
Updation of Wiki Page,72
Non English Articles (with no English equivalent),73
DBPedia RDF Data - Only English,73
Local Mirror Setup of English DBPedia,73
English Wikipedia full dump finished for thefirst time since 2006,73
DBPedia mapping extractor for resources not available in English,73
Non English Articles (with no Englishequivalent),73
which folders to index to get full English coverage?,73
English Words,73
No result for Category-label in English,73
Multi-Type Named Entities Can not be found in English DBpedia,73
only articels with english equivalent are processed,73
DBpedia - Querying Wikipedia like a Database:Improveddataset released.,74
Very simple DBpedia query with puzzling result,74
dbpedia/snorql and dbpedia query through jena,74
Automating DBpedia queries with live data and abstracts,74
DBpedia - Querying Wikipedia like a Database:Improved dataset released.,74
Fw: dbpedia/snorql and dbpedia query through jena,74
DBPedia Query,74
Dbpedia query inconsistency?,74
interrogating freebase and dbpedia from the same query,74
Formatting Dbpedia query,74
SPARQL DBPedia.org Query,75
query always times out,75
SPARQL: restricting DESCRIBE queries,75
Querying wiki/dbpedia for presidents' ages at inauguration,75
Unexpected answer to simple query,75
Birthplaces query,75
Slow Query Initially,75
Simple Infobox_Disease query,75
AdministrativeRegions appear when querying for Countries.,75
making a query more efficient?,75
querying via sparql & ranking,75
Querying for ontology definitions in SPARQL,75
Query logs of DBpedia,75
"How to query is <propertyName> of"" by SPARQL""",75
XMLStreamException when querying,75
"How to query is <propertyName> of""""",75
Querying for keywords while discarding accents,75
How do I query wikilinks?,75
Virtuoso Instance and LOD Cloud Hosting Update,76
Update: Virtuoso LOD Cloud Hosting Instance,76
How many nodes in the Virtuoso cluster?,76
Virtuoso configuration,76
Installing dbpedia vad for virtuoso,76
Virtuoso Update Time-frame,76
DBPedia in something other than Virtuoso?,76
Relationship between a category (skos:Concept) and the matching resource,77
circular relationships in SKOS categories?,77
relationship between properties of the same object,77
DBpedia Relationship Finder Release 2,77
DBpedia Relationship Finder Release,77
ImageExtractor issue,78
Issue with the live datastream,78
Geocoordinate issue on de & fr dbpedia,78
Data Formatting Issues,78
A modeling issue?,78
ontology issue,78
Issue in Maven execution,78
local dbpedia invirtuoso.,79
Best local DBpedia live mirrorâ setup?,79
Best method for local DBpedia live mirror,79
A local DBPedia live,79
Setup Local DBpedia Version,79
Performance issues when setting up local DBpedia live,79
How to turn a local chapter live ?,79
Sparql-query fetching uri from Danish Wikipedia URL,80
Queries on live.dbpedia.org return results with colon encoded as %3A in Category URLs,80
triple bug with funny characters in urls,80
Loading URLs with special characters,80
OWL DatatypeProperty URLs,80
DBpedia URL Shortener and persistence,80
Subject: SPARQL and DBPedia - getting the base url from a wiki page redirect name,80
Ampersands in URLs,80
DBpedia categories; URL shortening,80
URLs that aren t cool,80
Character encoding in SPARQL queries,81
dump encoding,81
Apostrophe encoding,81
Special characters in IRI's > which encoding?,81
shortabstract_en.nt: character encoding?,81
Unicode characters,81
Virtuoso/ DBpedia VAD wrong encoding in RDF/XML data,81
wikipedia articles using intermediary template,82
Paper on using NLP techniques to populate Wikipedia infoboxes with information from article texts,82
DBpedia page on Wikipedia,82
Bad Wikipedia abstracts,82
Lua scripting on Wikipedia,82
Regarding using Article Text (besides templates and infoboxes) for extracting triples for DBpedia,82
How many Wikipedia articles covered by DBpedia?,82
New DBpedia Overview Article Available,82
new WP articles in DBPedia,82
What version of wikipedia is the latest dbpedia (2.0) based on?,82
"Zotero, Wikipedia and Reference Citations",82
more dbpedia georeferenced datatypes than wikipedia georeferenced articles,82
"Getting the hyperlink text of the Wikipedia articles' External Links""""",82
Is it possible to find if the article corresponds to a location ??,82
Convert wikipedia pages of a language,82
Credits page: please acknowledge Wikipedia / MediaWiki,82
Paper: Autonomously Semantifying Wikipedia,82
Help with iOS and accessing DBPedia,83
Help with my first dbpedia select - Simpsons Episodes almost working,83
A Ph.D. Studentâs CRY for Help,83
help,83
Post-extraction script help,83
ask help from a dbpedia programmer,83
help : All data in CSV format for a particular entity,83
"Live and historic, help",83
Wiktionary extraction help,83
help writing a query,83
Help on forming this query (getting color names),83
How can I help?,83
More on DBpedia and YAGO?,84
YAGO classes in dbpedia?,84
Foreign language Yago classes,84
"linking conceptnet to Dbpedia, Yago",84
yago categories in German dbpedia,84
"DBpedia, Yago Class Hierarchy, and Virtuoso Inferencing",84
DBpedia and Yago,84
What is the difference between DBpedia categories and Yago types ?,84
Problems with the YAGO hierarchy,84
GSoC - ListExtractor,85
Introduction for GSoC 2017,85
GSoC List-Extractor,85
GSOC 2016 Automatic Mappings Extraction & Upgrade Sweble Parser,85
Introduction to GSoC 2017,85
GSoC: Programming languages,85
MapReduce expert needed to help DBpedia [as GSoC co-mentor],85
Feedback needed (Was: GSOC 2016: Ã-Testing of lookup and Completion of the Tasks),85
GSOC applicant,85
Software license,86
"Newbie: Ranges, non-link values, comparison to freebase, license",86
DBpedia license,86
About the license over external links,86
License DBpedia as CC-BY-SA? was: license update at the Wikimedia Foundation,86
license update at the Wikimedia Foundation,86
"single place for dbpedia, freebase, yago, linkedmdb and others",87
"Semantic GIS site based on dbpedia, freebase, openstreetmaps, etc.",87
Link Dbpedia and freebase relations,87
Freebase and dbpedia,87
"dbpedia -> Freebase mappings, a cautionary tale",87
Dbpedia and Freebase,87
distributed-extraction-framework and distributed extraction in general,88
etymology extractor,88
Literature on tracking changes in generic databases?,88
Mapping extractor generates only 1 triple when a property has multiple objects,88
Generate nerd_stats_output.tsv from nerd-stats.pig (Hugo Silva),88
DBpedia Extractors not deterministic?,88
Generate nerd_stats_output.tsv from nerd-stats.pig,88
Writing parser rules for Generic Extractor,88
Issue with properties mapping,89
Machine readable property mappings,89
DBpedia ontology property mappings,89
Missing properties after mapping extraction,89
"property is mapped but not found in the template definition""""",89
editing properties in mappings wiki,89
DBpedia SVN mailing list,90
Linking To Items From Wikipedia Lists,90
Test email to list,90
noun-attribute lists,90
collecting the List of cities per country from DBpedia,90
Wikipedia lists in DBpedia?,90
How can i exit DBpedia mailing list ?,90
Template mappings and ignore list,90
German Geo Coordinates Missing,91
Geographic Coordinates of Places,91
Geographical Coordinates,91
Community coordination action: DBpedia reproducubility / Dockerization,91
Geo data for German Wikipedia missing?,91
Geo coordinates in German dbpedia,91
Accuracy of coordinates in dbpedia/wikipedia & freebase,91
Inconsistency Feedback from DBpedia to Wikipedia What's disjoint in the dbpedia ontology?,92
why dbpedia ontology is not complete,92
DBpedia ontology,92
Advancing the DBpedia ontology,92
DBPedia ontology - how to use it?,92
Odp: DBpedia ontology - predicate constraints,92
The DBpedia Ontology Survey,92
dbpedia ontology,92
"A detailed analysis of the ArchitecturalStructure portion of the DBpedia ontology, proposals included",92
DBPedia Ontologies,92
DBPedia ontology parsing,92
dbpedia ontology version 3.9,92
dbpedia ontology properties not getting extracted reliably from en Infobox : Film template,92
DBpedia ontology - predicate constraints,92
What's disjoint in the dbpedia ontology?,92
What do we call high-level categories in the dbpedia ontology?,92
Dbpedia Ontology,92
questions about DBpedia ontology,92
How do you fix typos in DBpedia ontology?,92
Inconsistent Results: Set vs. Subset and Set - Subset,93
Data inconsistent and missing,93
Inconsistency in DBpedia?,93
Inconsistent result sets,93
Improper or inconsistent data after extraction,93
arabic dbpedia,94
Arabic chapter,94
A request for the creation of the Arabic Chapter of DBpedia,94
dbpedia arabic chapter,94
Missing information in the Arabic chapter,94
Querying the Arabic DBpedia,94
Support for 304 not modified,95
DBPedia Arabic Support,95
Wiktionary DBpedia - Supported Data,95
DBpedia HTTPS Support?,95
multi language extraction support,95
ESWC 2014 Students Participation Support,95
Oracle is a RDBMS and a wise person,96
How to extract profession of a person?,96
"More information about how persons are extracted into persondata_en.nt, more about topical_concepts_en.nt instance_types.nt",96
Six properties for a person's date of birth,96
six properties for a person s date of birth,96
Problem with person classes,96
Airpedia vs DBpedia entity counts,97
FW: Query time when using POST vs GET,97
Existing entities vs General entities,97
property/batAvg vs property/battingAverage,97
Dbo vs Dbp,97
Will the real URI stand up? [dbpedia vs wikipedia vs the world],97
live updating update?,98
Updating local sesame database with Live dumps,98
How frequently is DBPedia updated?,98
Update,98
How to find the order of updates?,98
DBpedia Updates Integrator,98
:Basekb Updated to 2012-11-04,98
DBpedia Update and Pending Changeover,98
DBpedia Project Update and Freebase Interlinking,98
DBpediaLive - Update rate statistics,98
How to get DBpedia updated dump for different languages,98
"live updating"", tracking resource changes""",98
See wikipedia updates,98
URI / IRI again,99
problem with iri,99
DBPedia IRI bug?,99
Stable DBpedia IRIs,99
